,SOCs.soc,TemperaturesCells.cell_21,TemperaturesCells.cell_20,TemperaturesCells.cell_23,TemperaturesCells.cell_22,TemperaturesCells.cell_25,TemperaturesCells.cell_24,TemperaturesCells.cell_27,TemperaturesCells.cell_26,TemperaturesCells.cell_29,TemperaturesCells.cell_28,TemperaturesCells.cell_89,TemperaturesCells.cell_88,TemperaturesCells.cell_87,TemperaturesCells.cell_86,TemperaturesCells.cell_85,TemperaturesCells.cell_84,TemperaturesCells.cell_83,TemperaturesCells.cell_82,TemperaturesCells.cell_81,TemperaturesCells.cell_80,TemperaturesCells.cell_32,TemperaturesCells.cell_33,TemperaturesCells.cell_30,TemperaturesCells.cell_31,TemperaturesCells.cell_36,TemperaturesCells.cell_37,TemperaturesCells.cell_34,TemperaturesCells.cell_35,TemperaturesCells.cell_38,TemperaturesCells.cell_39,TemperaturesCells.cell_90,TemperaturesCells.cell_91,TemperaturesCells.cell_92,TemperaturesCells.cell_93,TemperaturesCells.cell_94,TemperaturesCells.cell_95,TemperaturesCells.cell_96,TemperaturesCells.cell_97,TemperaturesCells.cell_98,TemperaturesCells.cell_99,TemperaturesCells.cell_100,TemperaturesCells.cell_18,TemperaturesCells.cell_19,TemperaturesCells.cell_10,TemperaturesCells.cell_11,TemperaturesCells.cell_12,TemperaturesCells.cell_13,TemperaturesCells.cell_14,TemperaturesCells.cell_15,TemperaturesCells.cell_16,TemperaturesCells.cell_17,TemperaturesCells.cell_69,TemperaturesCells.cell_68,TemperaturesCells.cell_65,TemperaturesCells.cell_64,TemperaturesCells.cell_67,TemperaturesCells.cell_66,TemperaturesCells.cell_61,TemperaturesCells.cell_60,TemperaturesCells.cell_63,TemperaturesCells.cell_62,TemperaturesCells.cell_2,TemperaturesCells.cell_3,TemperaturesCells.cell_1,TemperaturesCells.cell_6,TemperaturesCells.cell_7,TemperaturesCells.cell_4,TemperaturesCells.cell_5,TemperaturesCells.cell_8,TemperaturesCells.cell_9,TemperaturesCells.cell_78,TemperaturesCells.cell_79,TemperaturesCells.cell_76,TemperaturesCells.cell_77,TemperaturesCells.cell_74,TemperaturesCells.cell_75,TemperaturesCells.cell_72,TemperaturesCells.cell_73,TemperaturesCells.cell_70,TemperaturesCells.cell_71,TemperaturesCells.cell_43,TemperaturesCells.cell_42,TemperaturesCells.cell_41,TemperaturesCells.cell_40,TemperaturesCells.cell_47,TemperaturesCells.cell_46,TemperaturesCells.cell_45,TemperaturesCells.cell_44,TemperaturesCells.cell_49,TemperaturesCells.cell_48,TemperaturesCells.cell_54,TemperaturesCells.cell_55,TemperaturesCells.cell_56,TemperaturesCells.cell_57,TemperaturesCells.cell_50,TemperaturesCells.cell_51,TemperaturesCells.cell_52,TemperaturesCells.cell_53,TemperaturesCells.cell_58,TemperaturesCells.cell_59,Voltages.voltage_bat,Voltages.voltage_oc,Voltages.voltage_limit,Currents.current_bat,Temperatures.temp_min,Temperatures.temp_mean,Temperatures.temp_outlet,Temperatures.temp_max,Powers.power_int,Powers.power_bat,Resistances.resistance_int,Efficiencies.efficiency,TemperaturesCells.cells_0,TemperaturesCells.cells_1,TemperaturesCells.cells_2,TemperaturesCells.cells_3,TemperaturesCells.cells_4,TemperaturesCells.cells_5,TemperaturesCells.cells_6,TemperaturesCells.cells_7,TemperaturesCells.cells_8,TemperaturesCells.cells_9
65.2,37.5,70.3,70.3,70.4,70.3,70.4,70.4,70.3,70.3,70.2,70.2,70.2,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.2,70.2,70.3,70.4,70.2,70.2,70.3,70.2,70.4,70.3,70.2,70.2,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.2,70.2,70.2,70.3,70.3,70.4,70.4,70.4,70.3,70.3,70.2,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.2,70.3,70.1,70.3,70.3,70.4,70.4,70.2,70.2,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.4,70.4,70.3,70.3,70.2,70.2,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.2,70.2,70.3,70.3,70.3,70.3,939.0,856.0,617.0,-3460.0,70.4,68.4,,69.3,-2961.76,-3248.94,-0.0239884393064,91.1608093717,70.27,70.29,70.31,70.32,70.32,70.31,70.31,70.3,70.3,70.3
65.4,37.5,70.3,70.3,70.4,70.4,70.4,70.4,70.3,70.3,70.2,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.2,70.3,70.4,70.2,70.3,70.3,70.2,70.4,70.3,70.2,70.2,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.2,70.2,70.2,70.3,70.3,70.4,70.4,70.4,70.3,70.3,70.2,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.4,70.3,70.3,70.2,70.3,70.1,70.3,70.3,70.4,70.4,70.2,70.2,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.4,70.4,70.3,70.3,70.3,70.2,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.2,70.2,70.3,70.3,70.3,70.3,939.0,856.0,617.0,-3460.0,70.4,68.4,,69.3,-2961.76,-3248.94,-0.0239884393064,91.1608093717,70.27,70.29,70.31,70.32,70.32,70.31,70.31,70.3,70.3,70.3
65.6,37.5,70.3,70.3,70.4,70.4,70.4,70.4,70.3,70.3,70.2,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.2,70.3,70.4,70.2,70.3,70.3,70.2,70.4,70.3,70.2,70.2,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.2,70.2,70.2,70.3,70.3,70.4,70.4,70.4,70.3,70.3,70.2,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.4,70.3,70.3,70.2,70.3,70.1,70.3,70.3,70.4,70.4,70.2,70.2,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.4,70.4,70.3,70.3,70.3,70.2,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.2,70.2,70.3,70.3,70.3,70.3,939.0,856.0,617.0,-3460.0,70.4,68.4,,69.3,-2961.76,-3248.94,-0.0239884393064,91.1608093717,70.27,70.29,70.31,70.32,70.32,70.31,70.31,70.3,70.3,70.3
65.8,37.5,70.3,70.3,70.4,70.4,70.4,70.4,70.3,70.3,70.2,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.4,70.2,70.3,70.3,70.2,70.4,70.3,70.2,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.2,70.2,70.3,70.3,70.3,70.4,70.4,70.4,70.3,70.3,70.2,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.4,70.3,70.3,70.2,70.3,70.1,70.3,70.3,70.4,70.4,70.2,70.2,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.4,70.4,70.3,70.3,70.3,70.2,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.2,70.2,70.3,70.3,70.3,70.3,935.0,856.0,617.0,-3460.0,70.4,68.4,,69.3,-2961.76,-3235.1,-0.0228323699422,91.550802139,70.27,70.29,70.31,70.32,70.32,70.31,70.31,70.3,70.3,70.31
66.0,37.5,70.3,70.3,70.4,70.4,70.4,70.4,70.3,70.3,70.2,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.4,70.2,70.3,70.3,70.2,70.4,70.3,70.2,70.3,70.3,70.3,70.3,70.3,70.4,70.3,70.3,70.3,70.3,70.3,70.2,70.2,70.3,70.3,70.3,70.4,70.4,70.4,70.3,70.3,70.2,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.4,70.3,70.3,70.2,70.3,70.1,70.3,70.3,70.4,70.4,70.2,70.2,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.4,70.4,70.3,70.3,70.3,70.2,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.2,70.2,70.3,70.3,70.3,70.3,934.0,856.0,617.0,-3460.0,70.4,68.4,,69.3,-2961.76,-3231.64,-0.0225433526012,91.6488222698,70.27,70.29,70.31,70.32,70.32,70.31,70.31,70.3,70.3,70.31
66.2,37.5,70.3,70.3,70.4,70.4,70.4,70.4,70.3,70.3,70.2,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.4,70.2,70.3,70.3,70.2,70.4,70.3,70.2,70.3,70.3,70.3,70.3,70.3,70.4,70.3,70.3,70.3,70.3,70.3,70.2,70.2,70.3,70.3,70.3,70.4,70.4,70.4,70.3,70.3,70.2,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.4,70.3,70.3,70.2,70.3,70.1,70.3,70.3,70.4,70.4,70.2,70.2,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.4,70.4,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.2,70.2,70.3,70.3,70.3,70.3,934.0,856.0,617.0,-3460.0,70.4,68.4,,69.3,-2961.76,-3231.64,-0.0225433526012,91.6488222698,70.27,70.29,70.31,70.32,70.32,70.31,70.31,70.3,70.3,70.31
66.4,37.5,70.3,70.3,70.4,70.4,70.4,70.4,70.3,70.3,70.2,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.4,70.2,70.3,70.3,70.2,70.4,70.3,70.2,70.3,70.3,70.3,70.3,70.3,70.4,70.3,70.3,70.3,70.3,70.3,70.2,70.2,70.3,70.3,70.3,70.4,70.4,70.4,70.3,70.3,70.2,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.4,70.3,70.3,70.2,70.3,70.1,70.3,70.3,70.4,70.4,70.2,70.2,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.4,70.4,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.2,70.2,70.3,70.3,70.3,70.3,,856.0,617.0,-3460.0,70.4,68.4,,69.3,-2961.76,,,,70.27,70.29,70.31,70.32,70.32,70.31,70.31,70.3,70.3,70.31
66.6,37.5,70.3,70.3,70.4,70.4,70.4,70.4,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.4,70.2,70.3,70.3,70.2,70.4,70.3,70.2,70.3,70.3,70.3,70.3,70.3,70.4,70.3,70.3,70.3,70.3,70.3,70.2,70.2,70.3,70.3,70.3,70.4,70.4,70.4,70.3,70.3,70.2,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.4,70.3,70.3,70.2,70.3,70.1,70.3,70.3,70.4,70.4,70.2,70.2,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.4,70.4,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.2,70.2,70.3,70.3,70.3,70.3,,856.0,617.0,-3460.0,70.4,68.4,,69.3,-2961.76,,,,70.27,70.29,70.31,70.32,70.32,70.31,70.31,70.3,70.3,70.31
66.8,37.5,70.3,70.3,70.4,70.4,70.4,70.4,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.4,70.2,70.3,70.3,70.2,70.4,70.3,70.2,70.3,70.3,70.3,70.3,70.3,70.4,70.3,70.3,70.3,70.3,70.3,70.2,70.2,70.3,70.3,70.3,70.4,70.4,70.4,70.3,70.3,70.2,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.4,70.3,70.3,70.2,70.3,70.1,70.3,70.3,70.4,70.4,70.2,70.2,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.4,70.4,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.2,70.2,70.3,70.3,70.3,70.3,,856.0,617.0,-3460.0,70.4,68.4,,69.3,-2961.76,,,,70.27,70.29,70.31,70.32,70.32,70.31,70.31,70.3,70.3,70.31
67.0,37.5,70.3,70.3,70.4,70.4,70.4,70.4,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.4,70.2,70.3,70.3,70.3,70.4,70.3,70.2,70.3,70.3,70.3,70.3,70.3,70.4,70.3,70.3,70.3,70.3,70.3,70.2,70.2,70.3,70.3,70.3,70.4,70.4,70.4,70.3,70.3,70.2,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.4,70.3,70.3,70.2,70.3,70.1,70.3,70.3,70.4,70.4,70.2,70.2,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.4,70.4,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.2,70.2,70.3,70.3,70.3,70.3,,856.0,617.0,-3460.0,70.4,68.4,,69.3,-2961.76,,,,70.27,70.29,70.31,70.32,70.32,70.31,70.31,70.3,70.3,70.31
67.2,37.5,70.3,70.3,70.4,70.4,70.4,70.4,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.4,70.2,70.3,70.3,70.3,70.4,70.3,70.2,70.3,70.3,70.3,70.3,70.3,70.4,70.3,70.3,70.3,70.3,70.3,70.2,70.2,70.3,70.3,70.3,70.4,70.4,70.4,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.4,70.3,70.3,70.2,70.3,70.1,70.3,70.3,70.4,70.4,70.2,70.2,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.4,70.4,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.2,70.2,70.3,70.3,70.3,70.4,,856.0,617.0,-3460.0,70.4,68.4,,69.3,-2961.76,,,,70.27,70.29,70.31,70.32,70.32,70.31,70.31,70.31,70.31,70.32
67.4,37.5,70.3,70.3,70.4,70.4,70.4,70.4,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.4,70.2,70.3,70.3,70.3,70.4,70.3,70.2,70.3,70.3,70.3,70.3,70.3,70.4,70.3,70.3,70.3,70.3,70.3,70.2,70.2,70.3,70.3,70.3,70.4,70.4,70.4,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.4,70.3,70.3,70.2,70.3,70.1,70.3,70.3,70.4,70.4,70.2,70.2,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.4,70.4,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.2,70.2,70.3,70.3,70.3,70.4,,856.0,617.0,-3460.0,70.4,68.4,,69.3,-2961.76,,,,70.27,70.29,70.31,70.32,70.32,70.31,70.31,70.31,70.31,70.32
67.6,37.5,70.3,70.3,70.4,70.4,70.4,70.4,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.4,70.2,70.3,70.3,70.3,70.4,70.3,70.2,70.3,70.3,70.3,70.3,70.3,70.4,70.3,70.3,70.3,70.3,70.3,70.2,70.2,70.3,70.3,70.3,70.4,70.4,70.4,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.4,70.3,70.3,70.2,70.3,70.1,70.3,70.3,70.4,70.4,70.2,70.2,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.4,70.4,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.2,70.2,70.3,70.3,70.3,70.4,,856.0,617.0,-3460.0,70.4,68.4,,69.3,-2961.76,,,,70.27,70.29,70.31,70.32,70.32,70.31,70.31,70.31,70.31,70.32
67.8,37.5,70.3,70.3,70.4,70.4,70.4,70.4,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.4,70.2,70.3,70.3,70.3,70.4,70.3,70.2,70.3,70.3,70.3,70.3,70.3,70.4,70.3,70.3,70.3,70.3,70.3,70.2,70.2,70.3,70.3,70.3,70.4,70.4,70.4,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.4,70.3,70.3,70.2,70.3,70.1,70.3,70.3,70.4,70.4,70.2,70.2,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.4,70.4,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.2,70.2,70.3,70.3,70.3,70.4,,856.0,617.0,-3460.0,70.4,68.4,,69.3,-2961.76,,,,70.27,70.29,70.31,70.32,70.32,70.31,70.31,70.31,70.31,70.32
68.0,37.5,70.3,70.3,70.4,70.4,70.4,70.4,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.4,70.2,70.3,70.3,70.3,70.4,70.3,70.2,70.3,70.3,70.3,70.3,70.3,70.4,70.3,70.3,70.3,70.3,70.3,70.2,70.2,70.3,70.3,70.3,70.4,70.4,70.4,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.4,70.3,70.3,70.2,70.3,70.1,70.3,70.3,70.4,70.4,70.2,70.2,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.4,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.2,70.2,70.3,70.3,70.3,70.4,,856.0,617.0,-3460.0,70.4,68.4,,69.3,-2961.76,,,,70.27,70.29,70.31,70.32,70.32,70.31,70.31,70.31,70.31,70.32
68.2,37.5,70.3,70.3,70.4,70.4,70.4,70.4,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.4,70.2,70.3,70.3,70.3,70.4,70.3,70.2,70.3,70.3,70.3,70.3,70.3,70.4,70.3,70.3,70.3,70.3,70.3,70.2,70.2,70.3,70.3,70.3,70.4,70.4,70.4,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.4,70.3,70.3,70.2,70.3,70.1,70.3,70.3,70.4,70.4,70.2,70.2,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.4,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.2,70.2,70.3,70.3,70.3,70.4,,856.0,617.0,-3460.0,70.5,68.4,,69.3,-2961.76,,,,70.27,70.29,70.31,70.32,70.32,70.31,70.31,70.31,70.31,70.32
68.4,37.6,70.3,70.3,70.4,70.4,70.4,70.4,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.4,70.2,70.3,70.3,70.3,70.4,70.3,70.2,70.3,70.3,70.3,70.3,70.3,70.4,70.3,70.3,70.3,70.3,70.3,70.2,70.3,70.3,70.3,70.3,70.4,70.4,70.4,70.3,70.3,70.3,70.3,70.4,70.3,70.3,70.3,70.3,70.3,70.4,70.3,70.3,70.2,70.3,70.1,70.3,70.3,70.4,70.4,70.2,70.2,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.4,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.2,70.2,70.3,70.3,70.3,70.4,,856.0,617.0,-3460.0,70.5,68.4,,69.3,-2961.76,,,,70.27,70.29,70.31,70.32,70.32,70.31,70.31,70.31,70.32,70.33
68.6,37.6,70.3,70.3,70.4,70.4,70.4,70.4,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.4,70.2,70.3,70.3,70.3,70.4,70.3,70.2,70.3,70.3,70.3,70.3,70.3,70.4,70.3,70.3,70.3,70.3,70.3,70.2,70.3,70.3,70.3,70.3,70.4,70.4,70.4,70.3,70.3,70.3,70.3,70.4,70.3,70.3,70.3,70.3,70.4,70.4,70.3,70.3,70.2,70.3,70.1,70.3,70.3,70.4,70.4,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.4,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.2,70.2,70.3,70.3,70.3,70.4,,856.0,617.0,-3460.0,70.5,68.4,,69.3,-2961.76,,,,70.29,70.31,70.33,70.34,70.34,70.33,70.33,70.33,70.33,70.33
68.8,37.6,70.3,70.3,70.4,70.4,70.4,70.4,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.4,70.2,70.3,70.3,70.3,70.4,70.3,70.2,70.3,70.3,70.3,70.3,70.3,70.4,70.3,70.3,70.3,70.3,70.3,70.2,70.3,70.3,70.3,70.3,70.4,70.4,70.4,70.3,70.3,70.3,70.4,70.4,70.3,70.3,70.3,70.3,70.4,70.4,70.3,70.3,70.2,70.3,70.1,70.3,70.3,70.4,70.4,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.4,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.2,70.2,70.3,70.3,70.3,70.4,934.0,856.0,617.0,-3460.0,70.5,68.4,,69.3,-2961.76,-3231.64,-0.0225433526012,91.6488222698,70.29,70.31,70.33,70.34,70.34,70.33,70.33,70.33,70.33,70.33
69.0,37.6,70.3,70.3,70.4,70.4,70.4,70.4,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.4,70.2,70.3,70.3,70.3,70.4,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.4,70.3,70.3,70.3,70.3,70.3,70.2,70.3,70.3,70.3,70.3,70.4,70.4,70.4,70.3,70.3,70.3,70.4,70.4,70.3,70.3,70.3,70.3,70.4,70.4,70.3,70.3,70.2,70.3,70.1,70.3,70.3,70.4,70.4,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.4,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.2,70.2,70.3,70.3,70.3,70.4,934.0,856.0,617.0,-3460.0,70.5,68.4,,69.3,-2961.76,-3231.64,-0.0225433526012,91.6488222698,70.29,70.31,70.33,70.34,70.34,70.33,70.33,70.33,70.33,70.33
69.2,37.6,70.3,70.3,70.4,70.4,70.4,70.4,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.4,70.2,70.3,70.3,70.3,70.4,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.4,70.3,70.3,70.3,70.3,70.3,70.2,70.3,70.3,70.3,70.3,70.4,70.4,70.4,70.3,70.3,70.3,70.4,70.4,70.3,70.3,70.3,70.3,70.4,70.4,70.3,70.3,70.2,70.3,70.1,70.3,70.3,70.4,70.4,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.4,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.2,70.2,70.3,70.3,70.3,70.4,934.0,856.0,617.0,-3460.0,70.5,68.4,,69.3,-2961.76,-3231.64,-0.0225433526012,91.6488222698,70.29,70.31,70.33,70.34,70.34,70.33,70.33,70.33,70.33,70.33
69.4,37.6,70.3,70.3,70.4,70.4,70.4,70.4,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.4,70.3,70.3,70.3,70.3,70.3,70.3,70.4,70.2,70.3,70.3,70.3,70.4,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.4,70.3,70.3,70.3,70.3,70.3,70.2,70.3,70.3,70.3,70.3,70.4,70.4,70.4,70.3,70.3,70.3,70.4,70.4,70.3,70.3,70.3,70.3,70.4,70.4,70.3,70.3,70.2,70.3,70.1,70.3,70.3,70.4,70.4,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.4,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.2,70.2,70.3,70.3,70.3,70.4,934.0,856.0,617.0,-3460.0,70.5,68.4,,69.3,-2961.76,-3231.64,-0.0225433526012,91.6488222698,70.29,70.31,70.33,70.34,70.34,70.33,70.33,70.33,70.33,70.33
69.6,37.6,70.3,70.3,70.4,70.4,70.4,70.4,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.4,70.3,70.3,70.3,70.3,70.3,70.3,70.4,70.2,70.3,70.3,70.3,70.4,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.4,70.3,70.3,70.3,70.3,70.3,70.2,70.3,70.3,70.3,70.3,70.4,70.4,70.4,70.3,70.3,70.3,70.4,70.4,70.3,70.3,70.3,70.3,70.4,70.4,70.3,70.3,70.2,70.3,70.1,70.3,70.3,70.4,70.4,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.4,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.2,70.2,70.3,70.3,70.3,70.4,934.0,856.0,617.0,-3460.0,70.5,68.4,,69.3,-2961.76,-3231.64,-0.0225433526012,91.6488222698,70.29,70.31,70.33,70.34,70.34,70.33,70.33,70.33,70.33,70.33
69.8,37.6,70.3,70.3,70.4,70.4,70.4,70.4,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.4,70.3,70.3,70.3,70.3,70.3,70.3,70.4,70.2,70.3,70.3,70.3,70.4,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.4,70.3,70.3,70.3,70.3,70.3,70.2,70.3,70.3,70.3,70.3,70.4,70.4,70.4,70.3,70.3,70.3,70.4,70.4,70.3,70.3,70.3,70.3,70.4,70.4,70.3,70.3,70.2,70.3,70.1,70.3,70.3,70.4,70.4,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.4,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.2,70.2,70.3,70.3,70.3,70.4,934.0,856.0,617.0,-3460.0,70.5,68.4,,69.3,-2961.76,-3231.64,-0.0225433526012,91.6488222698,70.29,70.31,70.33,70.34,70.34,70.33,70.33,70.33,70.33,70.33
